EPC;x;y;z
ACC102000000000000ACC102;2,0;3,5;1,6
ACC103000000000000ACC103;3,3;5,5;2,6
ACC104000000000000ACC104;4,6;2,2;2,1
ACC105000000000000ACC105;6,4;3,1;0,6
ACC106000000000000ACC106;7,8;5,4;1,4
ACC107000000000000ACC107;8,8;2,1;2,3
ACC108000000000000ACC108;8,4;5,9;2,0
ACC109000000000000ACC109;0,0;3,1;1,7
ACC110000000000000ACC110;3,1;0,5;1,7
ACC112000000000000ACC112;10,5;2,4;1,5
ACC113000000000000ACC113;14,2;0,0;1,7
ACC114000000000000ACC114;12,9;3,5;1,3
ACC115000000000000ACC115;8,3;0,6;2,5
ACC116000000000000ACC116;0,8;1,5;2,1
ACC117000000000000ACC117;13,4;5,9;1,9
ACC118000000000000ACC118;11,5;0,6;2,2
ACC120000000000000ACC120;2,5;2,2;2,1
